t	u	y
290.5	29.18067801	31.30697953
291	29.18067801	46.06904165
291.5	29.18067801	40.1142146
292	29.18067801	39.45666173
292.5	29.18067801	42.96935526
293	29.18067801	43.83923034
293.5	29.18067801	41.56995215
294	29.18067801	41.32617437
294.5	29.18067801	42.01323337
295	29.18067801	42.18780077
295.5	29.18067801	45.9733503
296	29.18067801	44.51131733
296.5	29.18067801	46.41586361
297	29.18067801	47.73620517
297.5	29.18067801	42.52744484
298	29.18067801	37.04725271
298.5	29.18067801	37.54870674
299	29.18067801	38.93322627
299.5	29.18067801	45.99407483
300	29.18067801	50.31999859
300.5	29.18067801	47.70428404
301	29.18067801	49.20473999
301.5	29.18067801	42.24589246
302	29.18067801	40.66016409
302.5	29.18067801	52.36129372
303	29.18067801	49.91928132
303.5	29.18067801	41.87552444
304	29.18067801	46.91373772
304.5	29.18067801	43.85838346
305	29.18067801	47.81269627
305.5	29.18067801	50.30541936
306	29.18067801	41.99710841
306.5	29.18067801	43.28994267
307	29.18067801	48.1937019
307.5	29.18067801	47.07812131
308	29.18067801	44.56671846
308.5	29.18067801	41.09801861
309	29.18067801	41.41267208
309.5	29.18067801	46.4576555
310	29.18067801	42.01851078
310.5	29.18067801	43.6139055
311	29.18067801	36.4802636
311.5	29.18067801	33.88375234
312	29.18067801	29.85501393
312.5	29.18067801	34.0293585
313	29.18067801	36.97152952
313.5	29.18067801	42.08388397
314	29.18067801	41.86647411
314.5	29.18067801	47.29732097
315	29.18067801	45.45023573
315.5	29.18067801	49.56081522
316	29.18067801	39.570605
316.5	29.18067801	45.64516728
317	29.18067801	40.17655726
317.5	29.18067801	41.24469102
318	29.18067801	39.42576244
318.5	29.18067801	44.53791891
319	29.18067801	41.31917403
319.5	29.18067801	43.96040074
320	29.18067801	42.98334469
320.5	29.18067801	41.97716115
321	29.18067801	37.01444493
321.5	29.18067801	34.90645648
322	29.18067801	43.86630113
322.5	29.18067801	47.44253944
323	29.18067801	49.53139156
323.5	29.18067801	48.69952
324	29.18067801	46.98405483
324.5	29.18067801	45.66945209
325	29.18067801	42.1984514
325.5	29.18067801	44.52179113
326	29.18067801	42.18323237
326.5	29.18067801	40.09751552
327	29.18067801	50.21002921
327.5	29.18067801	51.87982742
328	29.18067801	48.14515425
328.5	29.18067801	42.2021049
329	29.18067801	35.63047846
329.5	29.18067801	41.16322035
330	29.18067801	41.16841578
330.5	29.18067801	47.02894806
331	29.18067801	46.59539155
331.5	29.18067801	47.13375972
332	29.18067801	40.5120796
332.5	29.18067801	41.11113089
333	29.18067801	43.08799106
333.5	29.18067801	40.00886219
334	29.18067801	43.26883605
334.5	29.18067801	38.19482022
335	29.18067801	47.26898746
335.5	29.18067801	43.98221997
336	29.18067801	45.92041235
336.5	29.18067801	54.66259957
337	29.18067801	46.72023574
337.5	29.18067801	37.70430979
338	29.18067801	39.54186546
338.5	29.18067801	44.25448159
339	29.18067801	50.24431554
339.5	29.18067801	49.36983732
340	29.18067801	42.40775161
340.5	29.18067801	40.73543802
341	29.18067801	41.13904889
341.5	29.18067801	43.30150058
342	29.18067801	52.36927288
342.5	29.18067801	52.82204925
343	29.18067801	47.10510287
343.5	29.18067801	39.14278283
344	29.18067801	41.82695096
344.5	29.18067801	44.39895322
345	29.18067801	44.96649831
345.5	29.18067801	41.56879808
346	29.18067801	35.92700638
346.5	29.18067801	39.80479355
347	29.18067801	31.48657853
347.5	29.18067801	28.81700468
348	29.18067801	35.81141688
348.5	29.18067801	42.90579669
349	29.18067801	44.35296648
349.5	29.18067801	48.32702539
350	29.18067801	44.11625606
350.5	29.18067801	41.73664875
351	29.18067801	38.12717554
351.5	29.18067801	37.57695632
352	29.18067801	37.93374791
352.5	29.18067801	41.32004521
353	29.18067801	41.81269147
353.5	29.18067801	36.21756918
354	29.18067801	41.7951198
354.5	29.18067801	34.30502691
355	86.57080936	70.77510527
355.5	86.57080936	104.5330246
356	86.57080936	117.0318838
356.5	86.57080936	123.9672127
357	86.57080936	130.0781691
357.5	86.57080936	124.1557149
358	86.57080936	124.6009936
358.5	86.57080936	119.8131391
359	86.57080936	118.2486647
359.5	86.57080936	124.2702583
360	86.57080936	121.5070124
360.5	86.57080936	130.637832
361	86.57080936	137.9811415
361.5	86.57080936	127.3628067
362	86.57080936	122.6104151
362.5	86.57080936	120.7750311
363	86.57080936	123.2862775
363.5	86.57080936	121.2623674
364	86.57080936	125.5242445
364.5	86.57080936	128.1421497
365	86.57080936	126.9426361
365.5	86.57080936	122.7457593
366	86.57080936	119.4010036
366.5	86.57080936	115.5748709
367	86.57080936	112.4565231
367.5	86.57080936	116.2126287
368	86.57080936	112.3075292
368.5	86.57080936	117.8041287
369	86.57080936	119.6133211
369.5	86.57080936	121.8433072
370	86.57080936	125.7667152
370.5	86.57080936	129.7939517
371	86.57080936	126.4349557
371.5	86.57080936	131.0598859
372	86.57080936	124.3887049
372.5	86.57080936	128.2079376
373	86.57080936	129.7719759
373.5	86.57080936	125.4671388
374	86.57080936	129.291643
374.5	86.57080936	126.0018704
375	86.57080936	123.9000747
375.5	86.57080936	120.3603598
376	86.57080936	124.3955537
376.5	86.57080936	130.6985132
377	86.57080936	124.684799
377.5	86.57080936	128.0121218
378	86.57080936	134.2318127
378.5	86.57080936	138.6077308
379	86.57080936	124.2565234
379.5	86.57080936	125.4794938
380	86.57080936	128.1462324
380.5	86.57080936	125.7536213
381	86.57080936	129.1610286
381.5	86.57080936	120.3152499
382	86.57080936	124.55271
382.5	86.57080936	125.1346609
383	86.57080936	131.0167068
383.5	86.57080936	128.2563609
384	86.57080936	127.9478168
384.5	86.57080936	125.4399049
385	86.57080936	127.714387
385.5	86.57080936	128.3303074
386	86.57080936	134.7081239
386.5	86.57080936	140.7513765
387	86.57080936	135.0314703
387.5	86.57080936	125.9128263
388	86.57080936	127.3758375
388.5	86.57080936	130.8616114
389	86.57080936	132.2576452
389.5	86.57080936	131.0046163
390	86.57080936	132.8586013
390.5	86.57080936	130.2517566
391	86.57080936	135.6571958
391.5	86.57080936	131.4114188
392	86.57080936	126.7034188
392.5	86.57080936	119.8206568
393	86.57080936	119.5940867
393.5	86.57080936	115.6769811
394	86.57080936	126.7037525
394.5	86.57080936	130.4949478
395	86.57080936	125.0193678
395.5	86.57080936	128.0283496
396	86.57080936	127.0419485
396.5	86.57080936	129.2675926
397	86.57080936	133.0055817
397.5	86.57080936	137.1535046
398	86.57080936	136.6768501
398.5	86.57080936	131.1298197
399	86.57080936	129.9222784
399.5	86.57080936	126.1860344
400	86.57080936	125.2410709
400.5	86.57080936	119.836914
401	86.57080936	122.1171908
401.5	86.57080936	122.5130082
402	86.57080936	119.7636934
402.5	86.57080936	120.1894434
403	86.57080936	125.4672489
403.5	86.57080936	128.049916
404	86.57080936	121.5529742
404.5	86.57080936	128.4898089
405	86.57080936	130.7129949
405.5	86.57080936	132.5870145
406	86.57080936	127.5136877
406.5	86.57080936	134.4227137
407	86.57080936	127.3510268
407.5	86.57080936	127.8013428
408	86.57080936	123.4586653
408.5	86.57080936	115.5991582
409	86.57080936	114.4980278
409.5	86.57080936	112.5652
410	86.57080936	111.1351621
410.5	86.57080936	114.6592267
411	86.57080936	115.3617039
411.5	86.57080936	122.3295466
412	86.57080936	129.3186049
412.5	86.57080936	134.1069456
413	86.57080936	129.5869129
413.5	86.57080936	137.5626632
414	86.57080936	132.5804051
414.5	86.57080936	118.6059815
415	86.57080936	112.6148851
415.5	86.57080936	127.2938362
416	86.57080936	130.0328701
416.5	86.57080936	123.9228723
417	86.57080936	124.5349283
417.5	86.57080936	132.8384821
418	86.57080936	131.7250995
418.5	86.57080936	127.3958035
419	86.57080936	117.8447773
419.5	86.57080936	113.5609354
420	86.57080936	130.1908732
420.5	86.57080936	130.6160571
421	86.57080936	119.1834249
421.5	86.57080936	118.8670306
422	86.57080936	128.0831537
422.5	86.57080936	132.7467051
423	86.57080936	126.8412073
423.5	86.57080936	118.974433
424	86.57080936	124.2821715
424.5	86.57080936	131.6317626
425	86.57080936	137.5653615
425.5	86.57080936	128.9135899
426	86.57080936	119.9136215
426.5	86.57080936	120.9718923
427	86.57080936	121.9894881
427.5	86.57080936	129.0850329
428	86.57080936	137.5972817
428.5	86.57080936	141.6834816
429	86.57080936	147.7527527
429.5	86.57080936	139.0940176
430	86.57080936	126.9537156
430.5	86.57080936	129.1127368
431	86.57080936	127.469525
431.5	86.57080936	129.2504389
432	86.57080936	132.4304462
432.5	86.57080936	140.3309186
433	86.57080936	134.9466007
433.5	86.57080936	131.3379985
434	86.57080936	130.4232698
434.5	86.57080936	129.3883767
435	86.57080936	130.3154093
435.5	86.57080936	129.8370957
436	86.57080936	129.5483669
436.5	86.57080936	130.7617206
437	86.57080936	125.6596106
437.5	86.57080936	126.6637208
438	86.57080936	124.4438065
438.5	86.57080936	129.0796694
439	86.57080936	133.261799
439.5	86.57080936	130.0588115
440	86.57080936	127.4687783
440.5	86.57080936	119.7357454
441	86.57080936	115.9281485
441.5	86.57080936	118.6529427
442	86.57080936	121.3164488
442.5	86.57080936	123.8991205
443	86.57080936	119.1378695
443.5	71.46060526	104.647463
444	71.46060526	100.9645457
444.5	71.46060526	103.816479
445	71.46060526	107.8307512
445.5	71.46060526	110.8818136
446	71.46060526	112.6445065
446.5	71.46060526	113.119411
447	71.46060526	95.95547604
447.5	71.46060526	97.13618184
448	71.46060526	97.24040485
448.5	71.46060526	106.7570137
449	71.46060526	113.8924053
449.5	71.46060526	106.4490063
450	71.46060526	102.6586526
450.5	71.46060526	97.73216098
451	71.46060526	101.3589675
451.5	71.46060526	103.9877998
452	71.46060526	99.06137819
452.5	71.46060526	98.05014077
453	71.46060526	100.5862928
453.5	71.46060526	92.98550949
454	71.46060526	102.0658126
454.5	71.46060526	112.7251206
455	71.46060526	113.5252452
455.5	71.46060526	107.7923703
456	71.46060526	114.8173919
456.5	71.46060526	116.4775637
457	71.46060526	110.3508864
457.5	71.46060526	108.6973891
458	71.46060526	105.5856948
458.5	71.46060526	103.5302587
459	71.46060526	110.4941972
459.5	71.46060526	106.3995811
460	71.46060526	99.45135355
460.5	71.46060526	102.7437312
461	71.46060526	106.4972178
461.5	71.46060526	105.1477837
462	71.46060526	108.0979358
462.5	71.46060526	102.5258054
463	71.46060526	100.817714
